time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-02-24T10:41:22.630Z,37.3014,20.7327,10,4.3,mb,,174,0.959,0.68,us,us2000jme0,2019-02-25T13:18:08.747Z,"46km S of Lithakia, Greece",earthquake,7.1,2,0.148,13,reviewed,us,us
2019-02-24T09:37:33.150Z,36.0673,70.3152,122,4.1,mb,,96,1.815,0.98,us,us2000jmdj,2019-02-24T12:52:20.040Z,"41km W of `Alaqahdari-ye Kiran wa Munjan, Afghanistan",earthquake,5.2,10.1,0.174,9,reviewed,us,us
2019-02-24T08:48:09.060Z,16.0575,-93.9655,78.7,4,mb,,165,1.771,0.95,us,us2000jmd3,2019-02-24T09:17:09.040Z,"10km WNW of Paredon, Mexico",earthquake,10,18.4,0.113,21,reviewed,us,us
2019-02-24T08:33:05.890Z,20.4686661,-155.899826,10.37,2.96,ml,61,180,,0.17,hv,hv70826076,2019-02-24T08:53:46.040Z,"26km NNW of Hawi, Hawaii",earthquake,0.88,1.17,4.83,9,automatic,hv,hv
2019-02-24T08:31:49.280Z,37.7898,-113.1311,5,2.7,ml,,47,0.662,0.64,us,us2000jmct,2019-02-25T06:34:58.957Z,"9km W of Enoch, Utah",earthquake,1.6,1.2,0.044,68,reviewed,us,us
2019-02-24T06:00:32.010Z,-57.5997,157.617,10,5.5,mb,,84,3.198,0.89,us,us2000jmax,2019-02-24T08:02:09.008Z,"Macquarie Island region",earthquake,10.3,1.9,0.07,71,reviewed,us,us
2019-02-24T05:07:52.840Z,53.4484,-163.6305,10,4,mb,,174,1.416,1.14,us,us2000jmab,2019-02-24T05:58:39.040Z,"156km S of False Pass, Alaska",earthquake,8.1,2,0.093,31,reviewed,us,us
2019-02-24T05:00:58.870Z,18.3185,-68.1096,89,2.48,md,8,201,0.3347,0.31,pr,pr2019055001,2019-02-24T07:51:31.650Z,"42km SE of Punta Cana, Dominican Republic",earthquake,6.21,2.37,0.56,5,reviewed,pr,pr
2019-02-24T03:07:35.280Z,12.5984,-89.1871,35,4.5,mb,,162,1.797,1.1,us,us2000jm9u,2019-02-24T03:58:50.040Z,"99km S of La Libertad, El Salvador",earthquake,3.4,2,0.058,88,reviewed,us,us
2019-02-24T01:46:48.820Z,1.6749,127.5315,116.97,4.6,mb,,100,0.912,0.58,us,us2000jm9d,2019-02-24T02:06:27.040Z,"53km W of Tobelo, Indonesia",earthquake,12.5,7.4,0.136,19,reviewed,us,us
